,0
0,Abstract
1,Abstract Tech
2,Acid Pixie
3,Acidwave
4,Adventurecore
5,Afrofuturism
6,Afro-Victorian
7,After Hours
8,Agropeople
9,Alien
10,Alternative
11,Americana
12,American Pioneers
13,American Revolution
14,Androgynous
15,Anemoiacore
16,Angelcore
17,Anglocore
18,Anglo Gothic
19,Angura Kei
20,Animecore
21,Anti-Fashion
22,Applecore
23,Art Academia
24,Arts and Crafts Movement
25,Art Deco
26,Art Hoe
27,Art Nouveau
28,Artistiekelingen
29,Athlete
30,Atompunk
31,Auroracore
32,Autumn
33,Avant-garde
34,Babycore
35,Babygirl
36,Barbiecore
37,Bardcore
38,Baddie
39,Ballet Academia
40,Baroque
41,Bastardcore
42,Beatnik
43,Bibliopunk
44,Biker
45,Bills
46,Bimbo Casual
47,Biopunk
48,Bizarro Fiction
49,Blob Web
50,Bookstore Girl
51,Bloomcore
52,Bodikon
53,Bogan
54,Bohemian
55,Bombacore
56,Bosozoku
57,Boujee
58,Breakcore
59,Brocore
60,Bronzepunk
61,Britpop
62,Bubble Goth
63,Bubblegum Bitch
64,Bubblegum Witch
65,Bunnycore
66,Butterfly
67,Cabincore
68,Cagole
69,Camp
70,Campcore
71,Candycore
72,Caninecore
73,Carcore
74,Cargopunk
75,Carnivalcore
76,Cartelcore
77,Cartooncore
78,Casino
79,Cassette Futurism
80,Changelingcore
81,Chav
82,Cherry Emoji Twitter
83,Chic Modernist
84,Cholo
85,Christcore
86,Christian Girl Autumn
87,Christmas
88,Chaotic Academia
89,City Pop
90,Classic Academia
91,Classic Lolita
92,Classicism
93,Cleancore
94,Clockpunk
95,Cloudcore
96,Clowncore
97,Club
98,Club Kids
99,Coffee House/Cafe
100,Comfy/Cozy
101,Common White Girl
102,Comiccore
103,Concore
104,Constructivism
105,Corporate
106,Cottagecore
107,Cottagegore
108,Country
109,Cowpunk
110,C-Pop
111,Crackhead
112,Craftcore
113,Cripplepunk
114,Crowcore
115,Crustpunk
116,Cryptid Academia
117,Cryptidcore
118,Crystalcore
119,Cubism
120,Cuddle Party
121,Cultcore
122,Cult Party Kei
123,Cyber Minimalism
124,Cyberdelic
125,Cyberghetto
126,Cybergoth
127,Cybergrunge
128,Cyberpop
129,Cyberprep
130,Cyberpunk
131,Dadaism
132,Dark Paradise
133,Dark Academia
134,Dark Naturalism
135,Dark Nautical
136,Dark Nymphet
137,Darkest Academia
138,Daydreampunk
139,Dazecore
140,Decora
141,Decopunk
142,Desertwave
143,De Stijl
144,Devilcore
145,Diner
146,Dinocore
147,Dieselpunk
148,Dollcore
149,Dolly Kei
150,Dracopunk
151,Dragoncore
152,Dreamy
153,Drugcore
154,Dual Kawaii
155,Dungeon Synth
156,Dullcore
157,E-Boy
158,E-Girl
159,Electro Swing
160,Emancicore
161,Emo
162,Equestrian
163,Ero guro
164,Erokawa
165,Ethereal
166,Expressionism
167,Fairy Academia
168,Fairycore
169,Fairy Kei
170,Fairy Tale
171,Fanfare
172,Fantasy
173,Fantasy Astronomy
174,Fashwave
175,Fauvism
176,Fawncore
